YEAR;WEEK;START_DATE;MID_DATE;END_DATE;N_DEATH;T_MIN_WMEAN;T_MEAN_WMEAN;T_MAX_WMEAN;HMDX_MIN_WMEAN;HMDX_MEAN_WMEAN;HMDX_MAX_WMEAN;TDEW_MEAN_WMEAN;WDCHL_MEAN_WMEAN;RELH_MEAN_WMEAN;PRES_MEAN_WMEAN;WDSPD_MEAN_WMEAN;PRCIP_SUM_WSUM;VISB_MEAN_WMEAN
2010;1;2010-01-03;2010-01-06;2010-01-09;378;-9,73;-8,04;-6,09;;;;-11,14;-14,32;78,97;100,23;16,55;0;21,45
2010;2;2010-01-10;2010-01-13;2010-01-16;367;-8,73;-5,81;-2,53;;;;-9,44;-13,7;75,85;101,36;11,66;0;21,42
2010;3;2010-01-17;2010-01-20;2010-01-23;336;-7,72;-4,69;-1,35;;;;-7,83;-8,91;79,64;101,22;9,45;0;19,29
2010;4;2010-01-24;2010-01-27;2010-01-30;349;-8,91;-5,64;-2,46;;;;-9,77;-21,58;73,34;100,51;17,8;0;20,98
2010;5;2010-01-31;2010-02-03;2010-02-06;380;-14,44;-10,46;-6,58;;;;-16,21;-15,53;63,54;101,45;11,29;0;26,69
2010;6;2010-02-07;2010-02-10;2010-02-13;331;-10,21;-7,13;-4,1;;;;-12,13;-12,46;68,01;100,27;14,44;0;28,31
2010;7;2010-02-14;2010-02-17;2010-02-20;391;-4,56;-2,41;-0,55;;;;-6,24;-7,51;75,58;99,56;15,14;0;22
2010;8;2010-02-21;2010-02-24;2010-02-27;340;-1,91;-0,14;1,87;;;;-2,61;-8,36;83,89;100,24;18,51;0;18,68
2010;9;2010-02-28;2010-03-03;2010-03-06;366;-2,06;0,96;4,43;;;;-5,84;;62,86;100,75;11,84;0;29,66
2010;10;2010-03-07;2010-03-10;2010-03-13;338;-1,39;3,13;7,84;;;;-6,05;;53,02;101,1;13,77;0;32,17
2010;11;2010-03-14;2010-03-17;2010-03-20;347;2,34;7,04;11,87;;;;-2,6;;51,95;100,71;14,72;0;31,74
2010;12;2010-03-21;2010-03-24;2010-03-27;344;-3,03;0,8;4,84;;;;-7,34;-9,14;58,7;101,06;13,45;0;26,3
2010;13;2010-03-28;2010-03-31;2010-04-03;362;3,28;8,31;13,52;;;;2,68;;70,68;100,93;12,62;0;27,64
2010;14;2010-04-04;2010-04-07;2010-04-10;308;6,69;10,23;13,83;;;;2,74;;62,17;100,44;16,16;0;28,13
2010;15;2010-04-11;2010-04-14;2010-04-17;330;3,34;7,65;11,8;;;;-2,13;;55,64;101,58;12,13;0;32,19
2010;16;2010-04-18;2010-04-21;2010-04-24;339;4,76;10,29;15,18;;;;1,42;;57,42;100,56;10,18;0;34,4
2010;17;2010-04-25;2010-04-28;2010-05-01;415;4,8;9,75;15,03;;;;-0,5;;53,38;99,65;14,22;0;30,52
2010;18;2010-05-02;2010-05-05;2010-05-08;289;9,57;14,41;18,73;;;;8,23;;68,18;99,86;13,88;0;30,29
2010;19;2010-05-09;2010-05-12;2010-05-15;307;4,69;9,22;13,5;;;;0,61;;58,82;101,39;12,9;0;32,5
2010;20;2010-05-16;2010-05-19;2010-05-22;290;10,48;17,43;23,77;;;;4,85;;47,69;101,29;9,02;0;35,64
2010;21;2010-05-23;2010-05-26;2010-05-29;373;17,2;22,91;28,4;25;31,9;39,5;12,42;;53,73;101,03;10,2;0;32,04
2010;22;2010-05-30;2010-06-02;2010-06-05;312;14,35;18,49;22,51;;;;11,57;;67,37;100,24;10,03;0;26,42
2010;23;2010-06-06;2010-06-09;2010-06-12;303;11,55;15,19;18,4;;;;10,04;;73,9;100,7;10,75;0;30,08
2010;24;2010-06-13;2010-06-16;2010-06-19;302;14,2;19,12;24,11;;;;12,44;;67,99;100,81;10,21;0;25,56
2010;25;2010-06-20;2010-06-23;2010-06-26;292;16,84;20,76;24,28;;;;14,85;;71,13;100,61;10,85;0;29,41
2010;26;2010-06-27;2010-06-30;2010-07-03;314;14,98;18,99;23,28;;;;13,24;;71,04;100,58;12,74;0;30,32
2010;27;2010-07-04;2010-07-07;2010-07-10;429;22,28;26,59;31,4;30,42;35,59;40,67;20,24;;69,72;100,7;10,71;0;23,92
2010;28;2010-07-11;2010-07-14;2010-07-17;345;20,49;24,3;28,51;27,38;30,85;35,39;18,68;;72,57;100,55;9,64;0;26,34
2010;29;2010-07-18;2010-07-21;2010-07-24;355;18;21,79;25,92;;;;17,11;;76,51;100,47;8,64;0;25,8
2010;30;2010-07-25;2010-07-28;2010-07-31;317;16,24;20,74;24,64;;;;13,07;;62,79;100,66;12,21;0;34,21
2010;31;2010-08-01;2010-08-04;2010-08-07;297;16,23;20,68;25,08;27,88;30,8;35,75;15,54;;74,77;100,45;9,81;0;26,78
2010;32;2010-08-08;2010-08-11;2010-08-14;322;17,06;21,34;25,84;26,67;29,64;33,67;16,11;;73,78;100,84;9,14;0;27,17
2010;33;2010-08-15;2010-08-18;2010-08-21;320;16,15;20,13;24,24;25;28,35;31,5;14,17;;70,08;100,8;10,99;0;34,24
2010;34;2010-08-22;2010-08-25;2010-08-28;275;15,17;18,94;22,75;;;;14,42;;76,64;101,12;11,54;0;28,8
2010;35;2010-08-29;2010-09-01;2010-09-04;299;20,12;24,64;29,35;29,06;33,9;39;18,38;;69,47;100,6;13,06;0;24,37
2010;36;2010-09-05;2010-09-08;2010-09-11;316;12,7;16,73;20,86;;;;11,52;;73,1;100,52;12,44;0;32,34
2010;37;2010-09-12;2010-09-15;2010-09-18;317;10,12;13,86;17,66;;;;9,67;;76,87;100,92;11,12;0;30,75
2010;38;2010-09-19;2010-09-22;2010-09-25;335;10,03;14,33;19,18;;;;9,34;;73,47;100,94;10,54;0;30,3
2010;39;2010-09-26;2010-09-29;2010-10-02;313;10,81;13,89;16,84;;;;11,3;;84,86;100,62;12,07;0;23,14
2010;40;2010-10-03;2010-10-06;2010-10-09;318;7;10,38;13,99;;;;4,69;;69,92;100,94;12,37;0;30,31
2010;41;2010-10-10;2010-10-13;2010-10-16;343;5,24;8,94;13,06;;;;3,42;;70,43;100,32;11,98;0;31,68
2010;42;2010-10-17;2010-10-20;2010-10-23;335;2,43;6,55;10,62;;;;0,26;;65,55;100,32;13,52;0;31,99
2010;43;2010-10-24;2010-10-27;2010-10-30;360;4,92;8,07;10,73;;;;3,47;;75,45;100,46;12,65;0;20,78
2010;44;2010-10-31;2010-11-03;2010-11-06;338;0,85;3,19;5,39;;;;-0,46;;77,98;101,11;10,6;0;24,64
2010;45;2010-11-07;2010-11-10;2010-11-13;333;-0,36;3,65;7,89;;;;-1,2;;72,04;101,91;9,44;0;26,75
2010;46;2010-11-14;2010-11-17;2010-11-20;347;1,21;4,84;8,12;;;;-0,12;;71,37;100,81;13,6;0;27,23
2010;47;2010-11-21;2010-11-24;2010-11-27;320;-3,78;-0,42;2,93;;;;-5,57;-7,59;70,18;100,88;13,92;0;22,68
2010;48;2010-11-28;2010-12-01;2010-12-04;368;-1,52;1,86;4,64;;;;-1,6;-6,99;78,3;101,21;13,02;0;25,05
2010;49;2010-12-05;2010-12-08;2010-12-11;323;-9;-6,51;-4,64;;;;-9,24;-12,94;81,17;100,36;15,49;0;16,78
2010;50;2010-12-12;2010-12-15;2010-12-18;355;-10,72;-7,24;-4,34;;;;-9,28;-15,88;85,46;99,89;11,72;0;15,35
2010;51;2010-12-19;2010-12-22;2010-12-25;374;-8,96;-6;-3,68;;;;-7,99;-9,25;86,06;101,13;7,85;0;18,06
2010;52;2010-12-26;2010-12-29;2011-01-01;397;-8,63;-5,43;-2,82;;;;-9,41;-13,97;74,07;100,77;11,26;0;25,82
2011;1;2011-01-02;2011-01-05;2011-01-08;391;-7,44;-4,67;-2,04;;;;-8,13;-10,09;77,46;100,18;11,67;0;20,83
2011;2;2011-01-09;2011-01-12;2011-01-15;434;-10,41;-7,94;-6,1;;;;-11,34;-12,81;76,96;101,25;13,58;0;21,71
2011;3;2011-01-16;2011-01-19;2011-01-22;398;-15,52;-11,67;-8,8;;;;-15,42;-16,85;74,17;100,87;11,05;0;23,46
2011;4;2011-01-23;2011-01-26;2011-01-29;364;-15,9;-12,45;-9,21;;;;-16,18;-17,3;74,43;101,13;9,46;0;18,33
2011;5;2011-01-30;2011-02-02;2011-02-05;367;-13,5;-10,39;-7,64;;;;-15,23;-17,14;68,76;101,51;12,14;0;23,06
2011;6;2011-02-06;2011-02-09;2011-02-12;381;-10,65;-6,55;-2,8;;;;-10,37;-14,9;75,11;100,49;14,1;0;18,83
2011;7;2011-02-13;2011-02-16;2011-02-19;358;-9,6;-4,83;0,37;;;;-9,52;-12,73;70,68;100,5;12,53;0;20,52
2011;8;2011-02-20;2011-02-23;2011-02-26;358;-13,19;-9,08;-5,55;;;;-16,02;-13,52;58,73;101,41;10,4;0;29,51
2011;9;2011-02-27;2011-03-02;2011-03-05;373;-11,04;-5,71;-1,43;;;;-11,51;-14,1;65,25;101,6;13,31;0;25,03
2011;10;2011-03-06;2011-03-09;2011-03-12;401;-6,32;-2,64;1,04;;;;-5,69;-12,64;80,36;101,55;13,67;0;17,83
2011;11;2011-03-13;2011-03-16;2011-03-19;331;-2;1,55;4,67;;;;-3,39;;71,05;101,39;11,29;0;22,52
2011;12;2011-03-20;2011-03-23;2011-03-26;316;-5,48;-2,01;1,2;;;;-8,33;-8,39;63,83;101,1;12,06;0;27,26
2011;13;2011-03-27;2011-03-30;2011-04-02;395;-2,83;0,91;5,05;;;;-7,52;-10,08;55,74;100,4;13,26;0;30,87
2011;14;2011-04-03;2011-04-06;2011-04-09;359;0,01;4,53;9,1;;;;-4,25;;56,67;100,49;12,58;0;30,75
2011;15;2011-04-10;2011-04-13;2011-04-16;352;2,48;6,63;11,25;;;;-1,32;;60,59;101,11;13,89;0;27,85
2011;16;2011-04-17;2011-04-20;2011-04-23;338;1,06;4,53;8,37;;;;-1,6;;67,33;100,84;17,17;0;28,05
2011;17;2011-04-24;2011-04-27;2011-04-30;329;6,72;10,81;15,31;;;;5,22;;71,03;100,61;12,77;0;28,71
2011;18;2011-05-01;2011-05-04;2011-05-07;322;6,53;10,2;13,8;;;;4,51;;71,57;100,95;12,24;0;25,93
2011;19;2011-05-08;2011-05-11;2011-05-14;317;8,26;13,51;18,32;;;;5,26;;60,19;101,11;14,94;0;33,41
2011;20;2011-05-15;2011-05-18;2011-05-21;300;10,23;13,31;16,84;;;;9,86;;81,22;101,05;16,34;0;22,79
